time,ozone,wind
0.00273224,3,8
0.005464481,3,6
0.008196721,3,4
0.010928962,5,3
0.013661202,5,3
0.016393443,6,4
0.019125683,4,6
0.021857923,4,3
0.024590164,6,3
0.027322404,7,3
0.030054645,4,8
0.032786885,6,3
0.035519126,5,6
0.038251366,4,6
0.040983607,4,3
0.043715847,7,2
0.046448087,5,5
0.049180328,9,4
0.051912568,4,5
0.054644809,3,4
0.057377049,4,3
0.06010929,4,4
0.06284153,5,5
0.06557377,6,5
0.068306011,9,3
0.071038251,5,3
0.073770492,6,5
0.076502732,6,4
0.079234973,6,5
0.081967213,11,3
0.084699454,10,2
0.087431694,7,5
0.090163934,12,8
0.092896175,9,3
0.095628415,2,3
0.098360656,3,6
0.101092896,3,7
0.103825137,2,9
0.106557377,3,7
0.109289617,3,11
0.112021858,4,10
0.114754098,6,3
0.117486339,8,5
0.120218579,6,4
0.12295082,4,5
0.12568306,3,5
0.128415301,7,5
0.131147541,11,5
0.133879781,13,3
0.136612022,4,5
0.139344262,6,8
0.142076503,5,3
0.144808743,4,11
0.147540984,4,7
0.150273224,6,5
0.153005464,10,6
0.155737705,15,3
0.158469945,23,3
0.161202186,17,3
0.163934426,7,7
0.166666667,2,10
0.169398907,3,7
0.172131148,3,11
0.174863388,5,8
0.177595628,4,3
0.180327869,6,3
0.183060109,7,7
0.18579235,7,5
0.18852459,6,5
0.191256831,3,5
0.193989071,2,9
0.196721311,8,0
0.199453552,12,4
0.202185792,12,3
0.204918033,16,5
0.207650273,9,2
0.210382514,24,3
0.213114754,13,4
0.215846995,8,4
0.218579235,10,5
0.221311475,8,5
0.224043716,9,4
0.226775956,10,5
0.229508197,13,6
0.232240437,14,4
0.234972678,9,3
0.237704918,11,6
0.240437158,7,4
0.243169399,9,7
0.245901639,12,6
0.24863388,12,3
0.25136612,8,6
0.254098361,9,5
0.256830601,5,6
0.259562842,4,7
0.262295082,4,5
0.265027322,9,6
0.267759563,13,6
0.270491803,5,7
0.273224044,10,7
0.275956284,10,6
0.278688525,7,7
0.281420765,5,4
0.284153005,4,5
0.286885246,7,7
0.289617486,3,5
0.292349727,4,11
0.295081967,7,6
0.297814208,11,6
0.300546448,15,4
0.303278689,22,4
0.306010929,17,5
0.308743169,7,6
0.31147541,10,5
0.31420765,19,7
0.316939891,18,7
0.319672131,12,5
0.322404372,6,9
0.325136612,9,6
0.327868852,19,5
0.330601093,21,4
0.333333333,29,4
0.336065574,16,8
0.338797814,5,8
0.341530055,11,4
0.344262295,2,4
0.346994536,2,6
0.349726776,12,8
0.352459016,16,6
0.355191257,22,3
0.357923497,20,7
0.360655738,27,6
0.363387978,33,3
0.366120219,25,6
0.368852459,31,4
0.371584699,18,6
0.37431694,16,7
0.37704918,24,7
0.379781421,16,3
0.382513661,12,7
0.385245902,9,8
0.387978142,12,7
0.390710383,16,5
0.393442623,NA,3
0.396174863,8,9
0.398907104,9,5
0.401639344,29,3
0.404371585,20,7
0.407103825,5,3
0.409836066,5,6
0.412568306,11,3
0.415300546,12,4
0.418032787,19,4
0.420765027,17,8
0.423497268,19,6
0.426229508,16,6
0.428961749,14,6
0.431693989,10,7
0.43442623,9,8
0.43715847,7,6
0.43989071,5,3
0.442622951,2,9
0.445355191,12,5
0.448087432,22,3
0.450819672,17,5
0.453551913,26,4
0.456284153,27,6
0.459016393,14,3
0.461748634,11,6
0.464480874,23,4
0.467213115,26,3
0.469945355,21,3
0.472677596,15,4
0.475409836,20,5
0.478142077,15,4
0.480874317,18,7
0.483606557,26,4
0.486338798,19,6
0.489071038,13,5
0.491803279,30,7
0.494535519,26,4
0.49726776,15,5
0.5,16,5
0.50273224,16,8
0.505464481,19,6
0.508196721,23,3
0.510928962,28,6
0.513661202,34,6
0.516393443,33,5
0.519125683,NA,5
0.521857923,24,4
0.524590164,17,5
0.527322404,10,3
0.530054645,14,3
0.532786885,13,9
0.535519126,17,6
0.538251366,15,6
0.540983607,22,8
0.543715847,19,4
0.546448087,20,5
0.549180328,25,7
0.551912568,28,6
0.554644809,29,4
0.557377049,NA,4
0.56010929,23,3
0.56284153,26,3
0.56557377,14,4
0.568306011,13,4
0.571038251,26,6
0.573770492,22,8
0.576502732,11,6
0.579234973,15,6
0.581967213,14,6
0.584699454,13,6
0.587431694,9,3
0.590163934,12,4
0.592896175,15,6
0.595628415,12,6
0.598360656,15,7
0.601092896,25,4
0.603825137,18,3
0.606557377,14,7
0.609289617,22,3
0.612021858,24,5
0.614754098,19,5
0.617486339,16,6
0.620218579,7,7
0.62295082,2,5
0.62568306,4,7
0.628415301,6,7
0.631147541,12,5
0.633879781,9,7
0.636612022,15,5
0.639344262,17,4
0.642076503,13,3
0.644808743,20,3
0.647540984,22,7
0.650273224,24,4
0.653005464,26,7
0.655737705,32,6
0.658469945,33,4
0.661202186,27,3
0.663934426,38,5
0.666666667,23,8
0.669398907,19,5
0.672131148,19,8
0.674863388,15,7
0.677595628,28,5
0.680327869,10,6
0.683060109,14,7
0.68579235,26,6
0.68852459,17,4
0.691256831,3,5
0.693989071,2,6
0.696721311,3,7
0.699453552,14,4
0.702185792,29,5
0.704918033,18,5
0.707650273,3,7
0.710382514,7,10
0.713114754,9,3
0.715846995,19,5
0.718579235,8,5
0.721311475,NA,5
0.724043716,23,6
0.726775956,13,6
0.729508197,NA,3
0.732240437,7,5
0.734972678,3,9
0.737704918,5,8
0.740437158,11,5
0.743169399,12,4
0.745901639,5,5
0.74863388,4,7
0.75136612,5,3
0.754098361,4,6
0.756830601,10,6
0.759562842,17,4
0.762295082,26,3
0.765027322,30,5
0.767759563,18,4
0.770491803,12,5
0.773224044,7,6
0.775956284,15,3
0.778688525,12,5
0.781420765,7,8
0.784153005,28,5
0.786885246,22,5
0.789617486,18,7
0.792349727,14,4
0.795081967,24,5
0.797814208,10,4
0.800546448,14,5
0.803278689,9,7
0.806010929,12,8
0.808743169,7,6
0.81147541,7,4
0.81420765,6,4
0.816939891,13,5
0.819672131,5,3
0.822404372,3,5
0.825136612,7,6
0.827868852,8,7
0.830601093,10,4
0.833333333,12,0
0.836065574,7,3
0.838797814,5,6
0.841530055,6,3
0.844262295,4,0
0.846994536,5,7
0.849726776,11,3
0.852459016,20,0
0.855191257,4,5
0.857923497,14,2
0.860655738,16,2
0.863387978,5,4
0.866120219,3,9
0.868852459,5,3
0.871584699,1,3
0.87431694,5,5
0.87704918,4,0
0.879781421,11,0
0.882513661,6,5
0.885245902,8,3
0.887978142,14,0
0.890710383,18,2
